timepoint1_sample	timepoint2_sample
070386_D360.Pro_PV2T	070386_D540.Pro_PV2T
070202_D360.Pro_PV2T	070202_D540.Pro_PV2T
041020_D360.Pro_PV2T	041020_D540.Pro_PV2T
060231_D360.Pro_PV2T	060231_D540.Pro_PV2T
040741_D360.Pro_PV2T	040741_D540.Pro_PV2T
070056_D360.Pro_PV2T	070056_D540.Pro_PV2T
070290_D540.Pro_PV2T	070290_D360.Pro_PV2T
070236_D360.Pro_PV2T	070236_D540.Pro_PV2T
070308_D360.Pro_PV2T	070308_D540.Pro_PV2T
041125_D360.Pro_PV2T	041125_D540.Pro_PV2T
041120_D360.Pro_PV2T	041120_D540.Pro_PV2T
070167_D360.Pro_PV2T	070167_D540.Pro_PV2T
070200_D360.Pro_PV2T	070200_D540.Pro_PV2T
041140_D360.Pro_PV2T	041140_D540.Pro_PV2T
041037_D360.Pro_PV2T	041037_D540.Pro_PV2T
041058_D360.Pro_PV2T	041058_D540.Pro_PV2T
040152_D360.Pro_PV2T	040152_D540.Pro_PV2T
041073_D360.Pro_PV2T	041073_D540.Pro_PV2T
070369_D540.Pro_PV2T	070369_D360.Pro_PV2T
